Symbol,Scientific Name,Common Name,Genus,Species
PEHI,Penstemon hirsutus (L.) Willd.,hairy beardtongue,Penstemon,hirsutus
PEPA7,Penstemon pallidus Small,pale beardtongue,Penstemon,pallidus
PESE6,Penthorum sedoides L.,ditch stonecrop,Penthorum,sedoides
PEAM2,Perideridia americana (Nutt. ex DC.) Rchb.,eastern yampah,Perideridia,americana
PEFR5,Petasites frigidus (L.) Fr.,arctic sweet coltsfoot,Petasites,frigidus
PEFRS5,Petasites frigidus (L.) Fr. var. sagittatus (Banks ex Pursh) Cherniawsky,arrowleaf sweet coltsfoot,Petasites,frigidus
PHFR,Phacelia franklinii (R. Br.) A. Gray,Franklin's phacelia,Phacelia,franklinii
PHPU3,Phacelia purshii Buckley,Miami mist,Phacelia,purshii
PHTA,Phacelia tanacetifolia Benth.,lacy phacelia,Phacelia,tanacetifolia
PHAR3,Phalaris arundinacea L.,reed canarygrass,Phalaris,arundinacea
PHPO2,"Phaseolus polystachios (L.) Britton, Sterns & Poggenb.",thicket bean,Phaseolus,polystachios
PHCO24,Phegopteris connectilis (Michx.) Watt,long beechfern,Phegopteris,connectilis
PHHE11,Phegopteris hexagonoptera (Michx.) Fée,broad beechfern,Phegopteris,hexagonoptera
PHAL2,Phleum alpinum L.,alpine timothy,Phleum,alpinum
PHBI3,Phlox bifida Beck,cleft phlox,Phlox,bifida
PHDI5,Phlox divaricata L.,wild blue phlox,Phlox,divaricata
PHDR,Phlox drummondii Hook.,annual phlox,Phlox,drummondii
PHMA4,Phlox maculata L.,wild sweetwilliam,Phlox,maculata
PHNI,Phlox nivalis Lodd. ex Sweet,trailing phlox,Phlox,nivalis
PHPA9,Phlox paniculata L.,fall phlox,Phlox,paniculata
PHPI,Phlox pilosa L.,downy phlox,Phlox,pilosa
PHSU3,Phlox subulata L.,moss phlox,Phlox,subulata
PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,common reed,Phragmites,australis
PHAUA6,"Phragmites australis (Cav.) Trin. ex Steud. ssp. americanus Saltonst., P.M. Peterson & Soreng",American common reed,Phragmites,australis
PHLE5,Phryma leptostachya L.,American lopseed,Phryma,leptostachya
PHLA3,Phyla lanceolata (Michx.) Greene,lanceleaf fogfruit,Phyla,lanceolata
PHGR22,Physalis grisea (Waterf.) M. Martínez,strawberry-tomato,Physalis,grisea
PHHE5,Physalis heterophylla Nees,clammy groundcherry,Physalis,heterophylla
PHLO4,Physalis longifolia Nutt.,longleaf groundcherry,Physalis,longifolia
PHPU7,Physalis pubescens L.,husk tomato,Physalis,pubescens
PHVI5,Physalis virginiana Mill.,Virginia groundcherry,Physalis,virginiana
PHOP,"Physocarpus opulifolius (L.) Maxim., orth. cons.",common ninebark,Physocarpus,opulifolius
PHOPI,Physocarpus opulifolius (L.) Maxim. var. intermedius (Rydb.) B.L. Rob.,Atlantic ninebark,Physocarpus,opulifolius
PHVI8,Physostegia virginiana (L.) Benth.,obedient plant,Physostegia,virginiana
PHAM4,Phytolacca americana L.,American pokeweed,Phytolacca,americana
PIGL,Picea glauca (Moench) Voss,white spruce,Picea,glauca
PIMA,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",black spruce,Picea,mariana
PIHI,Picris hieracioides L.,hawkweed oxtongue,Picris,hieracioides
PIFO,Pilea fontana (Lunell) Rydb.,lesser clearweed,Pilea,fontana
PIMI2,Pilea microphylla (L.) Liebm.,rockweed,Pilea,microphylla
PIPU2,Pilea pumila (L.) A. Gray,Canadian clearweed,Pilea,pumila
PIVU,Pinguicula vulgaris L.,common butterwort,Pinguicula,vulgaris
PIBA2,Pinus banksiana Lamb.,jack pine,Pinus,banksiana
PIRE,Pinus resinosa Aiton,red pine,Pinus,resinosa
PIST,Pinus strobus L.,eastern white pine,Pinus,strobus
PIUN3,Piperia unalascensis (Spreng.) Rydb.,slender-spire orchid,Piperia,unalascensis
PICA19,"Piptatheropsis canadensis (Poir.) Romasch., P.M. Peterson & R.J. Soreng",Canadian ricegrass,Piptatheropsis,canadensis
PIPU9,"Piptatheropsis pungens (Torr.) Romasch., P.M. Peterson & R.J. Soreng",mountain ricegrass,Piptatheropsis,pungens
PIAV,Piptochaetium avenaceum (L.) Parodi,blackseed speargrass,Piptochaetium,avenaceum
PLFI,Plagiobothrys figuratus (Piper) I.M. Johnst. ex M. Peck,fragrant popcornflower,Plagiobothrys,figuratus
PLAR3,Plantago aristata Michx.,largebracted plantain,Plantago,aristata
PLCO2,Plantago cordata Lam.,heartleaf plantain,Plantago,cordata
PLPA2,Plantago patagonica Jacq.,woolly plantain,Plantago,patagonica
PLRU,Plantago rugelii Decne.,blackseed plantain,Plantago,rugelii
PLVI,Plantago virginica L.,Virginia plantain,Plantago,virginica
PLAN,Platanthera ×andrewsii (M. White) Luer [lacera × psycodes],fringed orchid,Platanthera,×andrewsii
PLME2,Platanthera ×media (Rydb.) Luer (pro sp.) [dilatata × hyperborea],green orchid,Platanthera,×media
PLSH4,"Platanthera ×shriveri P.M. Br., (pro. sp.) [grandiflora × lacera]",Shriver's purple fringed orchid,Platanthera,×shriveri
PLAQ2,Platanthera aquilonis Sheviak,northern green orchid,Platanthera,aquilonis
PLBL,Platanthera blephariglottis (Willd.) Lindl.,white fringed orchid,Platanthera,blephariglottis
PLCI2,Platanthera ciliaris (L.) Lindl.,yellow fringed orchid,Platanthera,ciliaris
PLCL,Platanthera clavellata (Michx.) Luer,small green wood orchid,Platanthera,clavellata
PLDI3,Platanthera dilatata (Pursh) Lindl. ex Beck,scentbottle,Platanthera,dilatata
PLFL,Platanthera flava (L.) Lindl.,palegreen orchid,Platanthera,flava
PLGR2,Platanthera grandiflora (Bigelow) Lindl.,greater purple fringed orchid,Platanthera,grandiflora
PLHO3,Platanthera hookeri (Torr. ex A. Gray) Lindl.,Hooker's orchid,Platanthera,hookeri
PLHU2,Platanthera huronensis (Nutt.) Lindl.,Huron green orchid,Platanthera,huronensis
PLLA2,Platanthera lacera (Michx.) G. Don,green fringed orchid,Platanthera,lacera
PLLE2,Platanthera leucophaea (Nutt.) Lindl.,prairie white fringed orchid,Platanthera,leucophaea
PLMA9,Platanthera macrophylla (Goldie) P.M. Brown,greater roundleaved orchid,Platanthera,macrophylla
PLOB,Platanthera obtusata (Banks ex Pursh) Lindl.,bluntleaved orchid,Platanthera,obtusata
PLOR4,Platanthera orbiculata (Pursh) Lindl.,lesser roundleaved orchid,Platanthera,orbiculata
PLPS2,Platanthera psycodes (L.) Lindl.,lesser purple fringed orchid,Platanthera,psycodes
PLOC,Platanus occidentalis L.,American sycamore,Platanus,occidentalis
PLOD,Pluchea odorata (L.) Cass.,sweetscent,Pluchea,odorata
POAL2,Poa alpina L.,alpine bluegrass,Poa,alpina
POAL3,Poa alsodes A. Gray,grove bluegrass,Poa,alsodes
POAR3,Poa arida Vasey,plains bluegrass,Poa,arida
POAU,Poa autumnalis Muhl. ex Elliott,autumn bluegrass,Poa,autumnalis
POGL,Poa glauca Vahl,glaucous bluegrass,Poa,glauca
PONE,Poa nemoralis L.,wood bluegrass,Poa,nemoralis
PONEI2,Poa nemoralis L. ssp. interior (Rydb.) W.A. Weber,inland bluegrass,Poa,nemoralis
POPA,Poa paludigena Fernald & Wiegand,bog bluegrass,Poa,paludigena
POPA2,Poa palustris L.,fowl bluegrass,Poa,palustris
POPR,Poa pratensis L.,Kentucky bluegrass,Poa,pratensis
POSA,Poa saltuensis Fernald & Wiegand,oldpasture bluegrass,Poa,saltuensis
POSE,Poa secunda J. Presl,Sandberg bluegrass,Poa,secunda
POSY,Poa sylvestris A. Gray,woodland bluegrass,Poa,sylvestris
POPE,Podophyllum peltatum L.,mayapple,Podophyllum,peltatum
POCE3,Podostemum ceratophyllum Michx.,hornleaf riverweed,Podostemum,ceratophyllum
POOP,Pogonia ophioglossoides (L.) Ker Gawl.,snakemouth orchid,Pogonia,ophioglossoides
PODO3,Polanisia dodecandra (L.) DC.,redwhisker clammyweed,Polanisia,dodecandra
PODOT,Polanisia dodecandra (L.) DC. ssp. trachysperma (Torr. & A. Gray) Iltis,sandyseed clammyweed,Polanisia,dodecandra
PORE2,Polemonium reptans L.,Greek valerian,Polemonium,reptans
POAM9,Polygala ambigua Nutt.,whorled milkwort,Polygala,ambigua
POCR,Polygala cruciata L.,drumheads,Polygala,cruciata
POIN4,Polygala incarnata L.,procession flower,Polygala,incarnata
POPA5,Polygala paucifolia Willd.,gaywings,Polygala,paucifolia
POPO,Polygala polygama Walter,racemed milkwort,Polygala,polygama
POSA3,Polygala sanguinea L.,purple milkwort,Polygala,sanguinea
POSE3,Polygala senega L.,Seneca snakeroot,Polygala,senega
POBI2,Polygonatum biflorum (Walter) Elliott,smooth Solomon's seal,Polygonatum,biflorum
POPU4,Polygonatum pubescens (Willd.) Pursh,hairy Solomon's seal,Polygonatum,pubescens
POAR4,Polygonella articulata (L.) Meisn.,coastal jointweed,Polygonella,articulata
POAC3,Polygonum achoreum S.F. Blake,leathery knotweed,Polygonum,achoreum
POAM8,Polygonum amphibium L.,water knotweed,Polygonum,amphibium
POAME,Polygonum amphibium L. var. emersum Michx.,longroot smartweed,Polygonum,amphibium
POAMS,Polygonum amphibium L. var. stipulaceum Coleman,water smartweed,Polygonum,amphibium
POAR6,Polygonum arifolium L.,halberdleaf tearthumb,Polygonum,arifolium
POBU2,Polygonum buxiforme Small,box knotweed,Polygonum,buxiforme
POCA8,Polygonum careyi Olney,Carey's smartweed,Polygonum,careyi
POCI,Polygonum cilinode Michx.,fringed black bindweed,Polygonum,cilinode
PODO4,Polygonum douglasii Greene,Douglas' knotweed,Polygonum,douglasii
POER2,Polygonum erectum L.,erect knotweed,Polygonum,erectum
POHY2,Polygonum hydropiperoides Michx.,swamp smartweed,Polygonum,hydropiperoides
POLA4,Polygonum lapathifolium L.,curlytop knotweed,Polygonum,lapathifolium
POPE2,Polygonum pensylvanicum L.,Pennsylvania smartweed,Polygonum,pensylvanicum
POPU5,Polygonum punctatum Elliott,dotted smartweed,Polygonum,punctatum
PORA3,Polygonum ramosissimum Michx.,bushy knotweed,Polygonum,ramosissimum
PORO,Polygonum robustius (Small) Fernald,stout smartweed,Polygonum,robustius
POSA5,Polygonum sagittatum L.,arrowleaf tearthumb,Polygonum,sagittatum
POSC3,Polygonum scandens L.,climbing false buckwheat,Polygonum,scandens
POSE6,Polygonum setaceum Baldw.,bog smartweed,Polygonum,setaceum
POTE2,Polygonum tenue Michx.,pleatleaf knotweed,Polygonum,tenue
POVI2,Polygonum virginianum L.,jumpseed,Polygonum,virginianum
POVI3,Polygonum viviparum L.,alpine bistort,Polygonum,viviparum
POCA11,Polymnia canadensis L.,whiteflower leafcup,Polymnia,canadensis
POVI7,Polypodium virginianum L.,rock polypody,Polypodium,virginianum
POAC4,Polystichum acrostichoides (Michx.) Schott,Christmas fern,Polystichum,acrostichoides
POBR4,Polystichum braunii (Spenner) Fée,Braun's hollyfern,Polystichum,braunii
POLO4,Polystichum lonchitis (L.) Roth,northern hollyfern,Polystichum,lonchitis
PONU4,Polytaenia nuttallii DC.,Nuttall's prairie parsley,Polytaenia,nuttallii
POCO14,Pontederia cordata L.,pickerelweed,Pontederia,cordata
POCA19,Populus ×canadensis Moench (pro sp.) [deltoides × nigra],Carolina poplar,Populus,×canadensis
POHE5,Populus ×heimburgeri B. Boivin [alba × tremuloides],cottonwood,Populus,×heimburgeri
POJA2,Populus ×jackii Sarg. [balsamifera × deltoides],balm-of-Gilead,Populus,×jackii
POBA2,Populus balsamifera L.,balsam poplar,Populus,balsamifera
PODE3,Populus deltoides W. Bartram ex Marshall,eastern cottonwood,Populus,deltoides
PODEM,Populus deltoides W. Bartram ex Marshall ssp. monilifera (Aiton) Eckenwalder,plains cottonwood,Populus,deltoides
POGR4,Populus grandidentata Michx.,bigtooth aspen,Populus,grandidentata
POHE4,Populus heterophylla L.,swamp cottonwood,Populus,heterophylla
POTR5,Populus tremuloides Michx.,quaking aspen,Populus,tremuloides
POOL,Portulaca oleracea L.,little hogweed,Portulaca,oleracea
POFA,Potamogeton ×faxonii Morong (pro sp.) [illinoensis × nodosus],pondweed,Potamogeton,×faxonii
POSP4,Potamogeton ×spathuliformis (J.W. Robbins) Morong (pro sp.) [gramineus × illinoensis],spoon pondweed,Potamogeton,×spathuliformis
POAL8,Potamogeton alpinus Balbis,alpine pondweed,Potamogeton,alpinus
POAM5,Potamogeton amplifolius Tuck.,largeleaf pondweed,Potamogeton,amplifolius
POBI9,Potamogeton bicupulatus Fernald,snailseed pondweed,Potamogeton,bicupulatus
POCO12,Potamogeton confervoides Rchb.,Tuckerman's pondweed,Potamogeton,confervoides
PODI,Potamogeton diversifolius Raf.,waterthread pondweed,Potamogeton,diversifolius
POEP2,Potamogeton epihydrus Raf.,ribbonleaf pondweed,Potamogeton,epihydrus
POFO3,Potamogeton foliosus Raf.,leafy pondweed,Potamogeton,foliosus
POFR3,Potamogeton friesii Rupr.,Fries' pondweed,Potamogeton,friesii
POGR8,Potamogeton gramineus L.,variableleaf pondweed,Potamogeton,gramineus
POHI4,Potamogeton hillii Morong,Hill's pondweed,Potamogeton,hillii
POIL,Potamogeton illinoensis Morong,Illinois pondweed,Potamogeton,illinoensis
PONA4,Potamogeton natans L.,floating pondweed,Potamogeton,natans
PONO2,Potamogeton nodosus Poir.,longleaf pondweed,Potamogeton,nodosus
POOA,Potamogeton oakesianus J.W. Robbins,Oakes' pondweed,Potamogeton,oakesianus
POOB2,Potamogeton obtusifolius Mert. & W.D.J. Koch,bluntleaf pondweed,Potamogeton,obtusifolius
POPE7,Potamogeton perfoliatus L.,claspingleaf pondweed,Potamogeton,perfoliatus
POPR5,Potamogeton praelongus Wulfen,whitestem pondweed,Potamogeton,praelongus
POPU6,Potamogeton pulcher Tuck.,spotted pondweed,Potamogeton,pulcher
POPU7,Potamogeton pusillus L.,small pondweed,Potamogeton,pusillus
PORI2,Potamogeton richardsonii (Benn.) Rydb.,Richardson's pondweed,Potamogeton,richardsonii
PORO2,Potamogeton robbinsii Oakes,Robbins' pondweed,Potamogeton,robbinsii
POSP3,Potamogeton spirillus Tuck.,spiral pondweed,Potamogeton,spirillus
POST2,Potamogeton strictifolius Benn.,narrowleaf pondweed,Potamogeton,strictifolius
POVA3,Potamogeton vaseyi J.W. Robbins,Vasey's pondweed,Potamogeton,vaseyi
POZO,Potamogeton zosteriformis Fernald,flatstem pondweed,Potamogeton,zosteriformis
POAR7,Potentilla arguta Pursh,tall cinquefoil,Potentilla,arguta
POGR9,Potentilla gracilis Douglas ex Hook.,slender cinquefoil,Potentilla,gracilis
POHI6,Potentilla hippiana Lehm.,woolly cinquefoil,Potentilla,hippiana
PONO3,Potentilla norvegica L.,Norwegian cinquefoil,Potentilla,norvegica
POPA15,Potentilla paradoxa Nutt.,Paradox cinquefoil,Potentilla,paradoxa
POPE8,Potentilla pensylvanica L.,Pennsylvania cinquefoil,Potentilla,pensylvanica
POSI2,Potentilla simplex Michx.,common cinquefoil,Potentilla,simplex
PRAL2,Prenanthes alba L.,white rattlesnakeroot,Prenanthes,alba
PRAL3,Prenanthes altissima L.,tall rattlesnakeroot,Prenanthes,altissima
PRRA,Prenanthes racemosa Michx.,purple rattlesnakeroot,Prenanthes,racemosa
PRTR,Prenanthes trifoliolata (Cass.) Fernald,gall of the earth,Prenanthes,trifoliolata
PRMI,Primula mistassinica Michx.,Mistassini primrose,Primula,mistassinica
PRLO,Proboscidea louisianica (Mill.) Thell.,ram's horn,Proboscidea,louisianica
PRHO2,Prosartes hookeri Torr.,drops-of-gold,Prosartes,hookeri
PRHOO,Prosartes hookeri Torr. var. oregana (S. Watson) Kartesz,Oregon drops of gold,Prosartes,hookeri
PRMA14,Prosartes maculata (Buckley) A. Gray,yellow mandarin,Prosartes,maculata
PRTR4,Prosartes trachycarpa S. Watson,roughfruit fairybells,Prosartes,trachycarpa
PRIN2,Proserpinaca intermedia Mack.,intermediate mermaidweed,Proserpinaca,intermedia
PRPA3,Proserpinaca palustris L.,marsh mermaidweed,Proserpinaca,palustris
PRPE,Proserpinaca pectinata Lam.,combleaf mermaidweed,Proserpinaca,pectinata
PRVU,Prunella vulgaris L.,common selfheal,Prunella,vulgaris
PRVUL2,Prunella vulgaris L. ssp. lanceolata (W. Bartram) Hultén,lance selfheal,Prunella,vulgaris
PRAL5,Prunus alleghaniensis Porter,Allegheny plum,Prunus,alleghaniensis
PRALD,Prunus alleghaniensis Porter var. davisii (W. Wight) Sarg.,Davis' plum,Prunus,alleghaniensis
PRAM,Prunus americana Marshall,American plum,Prunus,americana
PRNI,Prunus nigra Aiton,Canadian plum,Prunus,nigra
PRPE2,Prunus pensylvanica L. f.,pin cherry,Prunus,pensylvanica
PRPU3,Prunus pumila L.,sandcherry,Prunus,pumila
PRPUB,Prunus pumila L. var. besseyi (L.H. Bailey) Gleason,western sandcherry,Prunus,pumila
PRPUP,Prunus pumila L. var. pumila,Great Lakes sandcherry,Prunus,pumila
PRSE2,Prunus serotina Ehrh.,black cherry,Prunus,serotina
PRSU3,Prunus susquehanae hort. ex Willd.,Sesquehana sandcherry,Prunus,susquehanae
PRVI,Prunus virginiana L.,chokecherry,Prunus,virginiana
PSHE4,Pseudognaphalium helleri (Britton) Anderb.,Heller's cudweed,Pseudognaphalium,helleri
PSMA11,Pseudognaphalium macounii (Greene) Kartesz,Macoun's cudweed,Pseudognaphalium,macounii
PSOB3,Pseudognaphalium obtusifolium (L.) Hilliard & B.L. Burtt,rabbit-tobacco,Pseudognaphalium,obtusifolium
PSSP6,Pseudoroegneria spicata (Pursh) Á. Löve,bluebunch wheatgrass,Pseudoroegneria,spicata
PTTR,Ptelea trifoliata L.,common hoptree,Ptelea,trifoliata
PTAQ,Pteridium aquilinum (L.) Kuhn,western brackenfern,Pteridium,aquilinum
PTAN2,Pterospora andromedea Nutt.,woodland pinedrops,Pterospora,andromedea
PUDI,Puccinellia distans (Jacq.) Parl.,weeping alkaligrass,Puccinellia,distans
PUPA5,Pulsatilla patens (L.) Mill.,eastern pasqueflower,Pulsatilla,patens
PUPAM,Pulsatilla patens (L.) Mill. ssp. multifida (Pritz.) Zamels,cutleaf anemone,Pulsatilla,patens
PYIN,Pycnanthemum incanum (L.) Michx.,hoary mountainmint,Pycnanthemum,incanum
PYMU,Pycnanthemum muticum (Michx.) Pers.,clustered mountainmint,Pycnanthemum,muticum
PYTE,Pycnanthemum tenuifolium Schrad.,narrowleaf mountainmint,Pycnanthemum,tenuifolium
PYVE,Pycnanthemum verticillatum (Michx.) Pers.,whorled mountainmint,Pycnanthemum,verticillatum
PYVI,Pycnanthemum virginianum (L.) T. Dur. & B.D. Jacks. ex B.L. Rob. & Fernald,Virginia mountainmint,Pycnanthemum,virginianum
PYAM,Pyrola americana Sweet,American wintergreen,Pyrola,americana
PYAS,Pyrola asarifolia Michx.,liverleaf wintergreen,Pyrola,asarifolia
PYCH,Pyrola chlorantha Sw.,greenflowered wintergreen,Pyrola,chlorantha
PYEL,Pyrola elliptica Nutt.,waxflower shinleaf,Pyrola,elliptica
PYMI,Pyrola minor L.,snowline wintergreen,Pyrola,minor
QUBE3,Quercus ×bebbiana C.K. Schneid. [alba × macrocarpa],hybrid oak,Quercus,×bebbiana
QUAL,Quercus alba L.,white oak,Quercus,alba
QUBI,Quercus bicolor Willd.,swamp white oak,Quercus,bicolor
QUCO2,Quercus coccinea Münchh.,scarlet oak,Quercus,coccinea
QUEL,Quercus ellipsoidalis E.J. Hill,northern pin oak,Quercus,ellipsoidalis
QUIM,Quercus imbricaria Michx.,shingle oak,Quercus,imbricaria
QUMA2,Quercus macrocarpa Michx.,bur oak,Quercus,macrocarpa
QUMO4,Quercus montana Willd.,chestnut oak,Quercus,montana
QUMU,Quercus muehlenbergii Engelm.,chinquapin oak,Quercus,muehlenbergii
QUPA2,Quercus palustris Münchh.,pin oak,Quercus,palustris
QUPR,Quercus prinoides Willd.,dwarf chinquapin oak,Quercus,prinoides
QURU,Quercus rubra L.,northern red oak,Quercus,rubra
QUSH,Quercus shumardii Buckley,Shumard's oak,Quercus,shumardii
QUSHS2,Quercus shumardii Buckley var. shumardii,Shumard oak,Quercus,shumardii
QUVE,Quercus velutina Lam.,black oak,Quercus,velutina
RAAB,Ranunculus abortivus L.,littleleaf buttercup,Ranunculus,abortivus
RAAC3,Ranunculus acris L.,tall buttercup,Ranunculus,acris
RAAM,Ranunculus ambigens S. Watson,waterplantain spearwort,Ranunculus,ambigens
RACY,Ranunculus cymbalaria Pursh,alkali buttercup,Ranunculus,cymbalaria
RAFA,Ranunculus fascicularis Muhl. ex Bigelow,early buttercup,Ranunculus,fascicularis
RAFL,Ranunculus flabellaris Raf.,yellow water buttercup,Ranunculus,flabellaris
RAFL2,Ranunculus flammula L.,greater creeping spearwort,Ranunculus,flammula
RAGM,Ranunculus gmelinii DC.,Gmelin's buttercup,Ranunculus,gmelinii
RAHI,Ranunculus hispidus Michx.,bristly buttercup,Ranunculus,hispidus
RALA,Ranunculus lapponicus L.,Lapland buttercup,Ranunculus,lapponicus
RALO2,Ranunculus longirostris Godr.,longbeak buttercup,Ranunculus,longirostris
RAMA2,Ranunculus macounii Britton,Macoun's buttercup,Ranunculus,macounii
RAPE2,Ranunculus pensylvanicus L. f.,Pennsylvania buttercup,Ranunculus,pensylvanicus
RARE2,Ranunculus recurvatus Poir.,blisterwort,Ranunculus,recurvatus
RARH,Ranunculus rhomboideus Goldie,Labrador buttercup,Ranunculus,rhomboideus
RASC3,Ranunculus sceleratus L.,cursed buttercup,Ranunculus,sceleratus
RACO3,Ratibida columnifera (Nutt.) Wooton & Standl.,upright prairie coneflower,Ratibida,columnifera
RAPI,Ratibida pinnata (Vent.) Barnhart,pinnate prairie coneflower,Ratibida,pinnata
RHAL,Rhamnus alnifolia L'Hér.,alderleaf buckthorn,Rhamnus,alnifolia
RHMA,Rhexia mariana L.,Maryland meadowbeauty,Rhexia,mariana
RHVI,Rhexia virginica L.,handsome Harry,Rhexia,virginica
RHBO,Rhus ×borealis Greene [glabra × typhina],hybrid sumac,Rhus,×borealis
RHAR4,Rhus aromatica Aiton,fragrant sumac,Rhus,aromatica
RHCO,Rhus copallinum L.,winged sumac,Rhus,copallinum
RHGL,Rhus glabra L.,smooth sumac,Rhus,glabra
RHTY,Rhus typhina L.,staghorn sumac,Rhus,typhina
RHAL3,Rhynchospora alba (L.) Vahl,white beaksedge,Rhynchospora,alba
RHCA11,Rhynchospora capillacea Torr.,needle beaksedge,Rhynchospora,capillacea
RHCA12,Rhynchospora capitellata (Michx.) Vahl,brownish beaksedge,Rhynchospora,capitellata
RHFU,Rhynchospora fusca (L.) W.T. Aiton,brown beaksedge,Rhynchospora,fusca
RHMA6,Rhynchospora macrostachya Torr. ex A. Gray,tall horned beaksedge,Rhynchospora,macrostachya
RHRE8,Rhynchospora recognita (Gale) Kral,globe beaksedge,Rhynchospora,recognita
RHSC5,Rhynchospora scirpoides (Torr.) A. Gray,longbeak beaksedge,Rhynchospora,scirpoides
RIAM2,Ribes americanum Mill.,American black currant,Ribes,americanum
RIAU,Ribes aureum Pursh,golden currant,Ribes,aureum
RICY,Ribes cynosbati L.,eastern prickly gooseberry,Ribes,cynosbati
RIGL,Ribes glandulosum Grauer,skunk currant,Ribes,glandulosum
RIHI,Ribes hirtellum Michx.,hairystem gooseberry,Ribes,hirtellum
RIHU,Ribes hudsonianum Richardson,northern black currant,Ribes,hudsonianum
RIHUH,Ribes hudsonianum Richardson var. hudsonianum,Hudson Bay currant,Ribes,hudsonianum
RILA,Ribes lacustre (Pers.) Poir.,prickly currant,Ribes,lacustre
RIOX,Ribes oxyacanthoides L.,Canadian gooseberry,Ribes,oxyacanthoides
RITR,Ribes triste Pall.,red currant,Ribes,triste
ROHI,Robinia hispida L.,bristly locust,Robinia,hispida
ROPS,Robinia pseudoacacia L.,black locust,Robinia,pseudoacacia
ROVI,Robinia viscosa Vent.,clammy locust,Robinia,viscosa
ROCU2,Rorippa curvipes Greene,bluntleaf yellowcress,Rorippa,curvipes
ROPA2,Rorippa palustris (L.) Besser,bog yellowcress,Rorippa,palustris
ROPAF2,Rorippa palustris (L.) Besser ssp. fernaldiana (Butters & Abbe) Jonsell,Fernald's yellowcress,Rorippa,palustris
ROPAH,Rorippa palustris (L.) Besser ssp. hispida (Desv.) Jonsell,hispid yellowcress,Rorippa,palustris
ROHO3,Rosa ×housei Erlanson (pro sp.) [acicularis × blanda],hybrid rose,Rosa,×housei
ROAC,Rosa acicularis Lindl.,prickly rose,Rosa,acicularis
ROAR3,Rosa arkansana Porter,prairie rose,Rosa,arkansana
ROBL,Rosa blanda Aiton,smooth rose,Rosa,blanda
ROBLH,Rosa blanda Aiton var. hispida Farw.,hispid rose,Rosa,blanda
ROCA4,Rosa carolina L.,Carolina rose,Rosa,carolina
ROPA,Rosa palustris Marshall,swamp rose,Rosa,palustris
ROSE2,Rosa setigera Michx.,climbing rose,Rosa,setigera
RORA,Rotala ramosior (L.) Koehne,lowland rotala,Rotala,ramosior
RUPA8,Rubus ×paracaulis L.H. Bailey (pro sp.) [arcticus × pubescens],blackberry,Rubus,×paracaulis
RUAL,Rubus allegheniensis Porter,Allegheny blackberry,Rubus,allegheniensis
RUAL9,Rubus alumnus L.H. Bailey,oldfield blackberry,Rubus,alumnus
RUAR,Rubus arcticus L.,arctic raspberry,Rubus,arcticus
RUARA2,Rubus arcticus L. ssp. acaulis (Michx.) Focke,dwarf raspberry,Rubus,arcticus
RUBA2,Rubus baileyanus Britton,Bailey's dewberry,Rubus,baileyanus
RUBE,Rubus bellobatus L.H. Bailey,Kittatinny blackberry,Rubus,bellobatus
RUCA16,Rubus canadensis L.,smooth blackberry,Rubus,canadensis
RUCE2,Rubus centralis L.H. Bailey,Illinois dewberry,Rubus,centralis
RUDI3,Rubus dissimilis L.H. Bailey,bristly Oswego blackberry,Rubus,dissimilis
RUFE,Rubus fecundus L.H. Bailey,DC dewberry,Rubus,fecundus
RUFL,Rubus flagellaris Willd.,northern dewberry,Rubus,flagellaris
RUFR4,Rubus frondosus Bigelow,yankee blackberry,Rubus,frondosus
RUGL2,Rubus glandicaulis Blanch.,glandstem blackberry,Rubus,glandicaulis
RUHA6,Rubus hanesii L.H. Bailey,Hanes' blackberry,Rubus,hanesii
RUHI,Rubus hispidus L.,bristly dewberry,Rubus,hispidus
RUID,Rubus idaeus L.,American red raspberry,Rubus,idaeus
RUIDS2,Rubus idaeus L. ssp. strigosus (Michx.) Focke,grayleaf red raspberry,Rubus,idaeus
RUIT,Rubus ithacanus L.H. Bailey,Ithaca blackberry,Rubus,ithacanus
RUJU2,Rubus junceus Blanch.,herbaceous blackberry,Rubus,junceus
RUME3,Rubus meracus L.H. Bailey,dryslope dewberry,Rubus,meracus
RUMI2,Rubus michiganensis (Card ex L.H. Bailey) L.H. Bailey,Michigan dewberry,Rubus,michiganensis
RUMI4,Rubus missouricus L.H. Bailey,Missouri dewberry,Rubus,missouricus
RUMU3,Rubus multiformis Blanch.,variable blackberry,Rubus,multiformis
RUNO2,Rubus notatus L.H. Bailey,bristle berry,Rubus,notatus
RUOC,Rubus occidentalis L.,black raspberry,Rubus,occidentalis
RUOD,Rubus odoratus L.,purpleflowering raspberry,Rubus,odoratus
RUPA,Rubus parviflorus Nutt.,thimbleberry,Rubus,parviflorus
RUPE3,Rubus pensilvanicus Poir.,Pennsylvania blackberry,Rubus,pensilvanicus
RUPE6,Rubus pergratus Blanch.,upland blackberry,Rubus,pergratus
RUPE7,Rubus permixtus Blanch.,thicket dewberry,Rubus,permixtus
RUPE9,Rubus perspicuus L.H. Bailey,Great Lakes dewberry,Rubus,perspicuus
RUPH2,Rubus philadelphicus Blanch.,Philadelphia blackberry,Rubus,philadelphicus
